,country,league,season,home,away,hg,ag,res,ph,pd,pa,maxh,maxd,maxa,avgh,avgd,avga,date,kick_off,hw,aw,x,h_pl,x_pl,a_pl,overround,phf,pdf,paf,herr,xerr,aerr,herr_avg,aerr_avg,h_nth_game,a_nth_game,h_rolling_err,a_rolling_err,h_last_err,a_last_err
2948,USA,MLS,2020,DC United,Colorado Rapids,1,2,A,2.09,3.59,3.53,2.15,3.74,3.6,2.06,3.55,3.39,2020-02-29,2020-02-29 18:00:00,0,1,0,-1.0,-1.0,2.53,1.0403065505351274,0.45993068031284584,0.2677590868673671,0.2723102328197869,-0.45993068031284584,-0.2677590868673671,0.2723102328197869,0.04570771563565431,-0.11866581543356018,,0.0,,,,
2949,USA,MLS,2020,Montreal Impact,New England Revolution,2,1,H,2.92,3.44,2.46,2.92,3.5,2.63,2.78,3.38,2.46,2020-02-29,2020-02-29 20:00:00,1,0,0,1.92,2.44,-1.0,1.0396674928839125,0.32939930869118433,0.27960638993554016,0.3909943013732757,0.32939930869118433,-0.27960638993554016,-0.3909943013732757,0.045803882277368056,-0.11875813017455669,,0.0,,,,
2950,USA,MLS,2020,Houston Dynamo,Los Angeles Galaxy,1,1,D,2.15,3.83,3.18,2.19,3.95,3.36,2.1,3.77,3.14,2020-02-29,2020-02-29 20:30:00,0,0,1,-1.0,-1.0,-1.0,1.040678293618924,0.4469356975365952,0.2508907962672793,0.30217350619612565,-0.4469356975365952,0.2508907962672793,-0.30217350619612565,0.045636908512605615,-0.11882028380926411,,0.0,,,,
2951,USA,MLS,2020,San Jose Earthquakes,Toronto FC,2,2,D,1.93,3.97,3.72,1.97,4.0,3.9,1.89,3.84,3.65,2020-02-29,2020-02-29 22:30:00,0,0,1,-1.0,-1.0,-1.0,1.0388410880927252,0.4987622466658336,0.24247131890807525,0.25876643442609104,-0.4987622466658336,0.24247131890807525,-0.25876643442609104,0.04545249145461834,-0.11886769104185789,,0.0,,,,
2952,USA,MLS,2020,FC Dallas,Philadelphia Union,2,0,H,1.93,3.84,3.88,1.97,3.84,4.1,1.9,3.66,3.79,2020-02-29,2020-02-29 23:00:00,1,0,0,0.9299999999999999,2.84,-1.0,1.0362833404554601,0.499993288320335,0.25129871001516835,0.24870800166449653,0.499993288320335,-0.25129871001516835,-0.24870800166449653,0.045606416546682585,-0.11891165999228885,,0.0,,,,
2953,USA,MLS,2020,Orlando City,Real Salt Lake,0,0,D,1.99,3.61,3.87,2.06,3.63,3.95,1.97,3.49,3.72,2020-02-29,2020-02-29 23:00:00,0,0,1,-1.0,-1.0,-1.0,1.0379188058799151,0.48415402049494216,0.2668882273642479,0.24895775214081003,-0.48415402049494216,0.2668882273642479,-0.24895775214081003,0.04542707990584249,-0.11895568372016581,,0.0,,,,
2954,USA,MLS,2020,Nashville SC,Atlanta Utd,1,2,A,3.37,3.69,2.12,4.04,3.75,2.15,3.32,3.57,2.08,2020-03-01,2020-03-01 01:00:00,0,1,0,-1.0,-1.0,1.12,1.0394367282791577,0.28547760240853937,0.2607207371590184,0.4538016604324423,-0.28547760240853937,-0.2607207371590184,0.4538016604324423,0.04531509862587147,-0.11876185720776224,,0.0,,,,
2955,USA,MLS,2020,Vancouver Whitecaps,Sporting Kansas City,1,3,A,3.27,3.64,2.18,3.4,3.75,2.2,3.15,3.55,2.15,2020-03-01,2020-03-01 03:30:00,0,1,0,-1.0,-1.0,1.1800000000000002,1.0392512686090667,0.2942603071948262,0.26434923201293453,0.4413904607922393,-0.2942603071948262,-0.26434923201293453,0.4413904607922393,0.045200221966256886,-0.11857236048313435,,0.0,,,,
2956,USA,MLS,2020,Columbus Crew,New York City,1,0,H,2.26,3.65,3.1,2.35,3.68,3.25,2.24,3.5,3.02,2020-03-01,2020-03-01 17:30:00,1,0,0,1.2599999999999998,2.65,-1.0,1.039031124007211,0.425856228829507,0.2636808430560783,0.3104629281144148,0.425856228829507,-0.2636808430560783,-0.3104629281144148,0.04532895243864892,-0.11863725414821087,,0.0,,,,
2957,USA,MLS,2020,New York Red Bulls,FC Cincinnati,3,2,H,1.59,4.0,6.19,1.64,4.5,6.25,1.57,4.07,5.58,2020-03-01,2020-03-01 18:00:00,1,0,0,0.5900000000000001,3.0,-1.0,1.0404817061399498,0.604461197057768,0.2402733258304628,0.15526547711176916,0.604461197057768,-0.2402733258304628,-0.15526547711176916,0.04551797618598466,-0.11864963691459476,,0.0,,,,
2958,USA,MLS,2020,Seattle Sounders,Chicago Fire,2,1,H,2.07,3.49,3.71,2.11,3.8,3.8,2.03,3.49,3.54,2020-03-01,2020-03-01 20:00:00,1,0,0,1.0699999999999998,2.49,-1.0,1.039166517704753,0.46488390379112376,0.27573343290762925,0.25938266330124693,0.46488390379112376,-0.27573343290762925,-0.25938266330124693,0.045659701744485894,-0.11869719792385014,,0.0,,,,
2959,USA,MLS,2020,Los Angeles FC,Inter Miami,1,0,H,1.33,5.92,8.31,1.41,6.06,9.6,1.31,5.66,8.13,2020-03-01,2020-03-01 22:30:00,1,0,0,0.33000000000000007,4.92,-1.0,1.0411355616086757,0.7221727188785854,0.1622448844777903,0.11558239664362438,0.7221727188785854,-0.1622448844777903,-0.11558239664362438,0.04588825343946363,-0.11869614562612034,,0.0,,,,
2960,USA,MLS,2020,Portland Timbers,Minnesota United,1,3,A,1.79,4.12,4.17,1.86,4.12,4.2,1.8,3.88,4.01,2020-03-02,2020-03-02 00:30:00,0,1,0,-1.0,-1.0,3.17,1.041185817956255,0.5365605334249441,0.2331173191336529,0.2303221474414029,-0.5365605334249441,-0.2331173191336529,0.2303221474414029,0.04569154665565262,-0.11857827386216642,,0.0,,,,
2961,USA,MLS,2020,New England Revolution,Chicago Fire,1,1,D,2.12,3.79,3.28,2.2,4.04,3.8,1.97,3.81,3.44,2020-03-07,2020-03-07 18:30:00,0,0,1,-1.0,-1.0,-1.0,1.0404284047320982,0.45336912281725483,0.2535996148740317,0.2930312623087135,-0.45336912281725483,0.2535996148740317,-0.2930312623087135,0.045523058921191815,-0.1186371708873003,,0.0,,,,
2962,USA,MLS,2020,Real Salt Lake,New York Red Bulls,1,1,D,2.42,3.55,2.9,2.48,3.62,3.05,2.38,3.43,2.86,2020-03-07,2020-03-07 19:00:00,0,0,1,-1.0,-1.0,-1.0,1.0397408675478348,0.3974289684990735,0.27092340951204447,0.33164762198888204,-0.3974289684990735,0.27092340951204447,-0.33164762198888204,0.04537356448061798,-0.11870906101592048,,0.0,,,,
2963,USA,MLS,2020,FC Dallas,Montreal Impact,2,2,D,1.54,4.22,6.43,1.61,4.45,6.5,1.54,4.16,5.86,2020-03-07,2020-03-07 20:00:00,0,0,1,-1.0,-1.0,-1.0,1.0418384693295693,0.6232738264776413,0.22745063809847577,0.149275535423883,-0.6232738264776413,0.22745063809847577,-0.149275535423883,0.04514797494250791,-0.11871937359163168,,1.0,,,,
2964,USA,MLS,2020,DC United,Inter Miami,2,1,H,2.36,3.46,3.06,2.51,3.68,3.2,2.28,3.43,3.01,2020-03-07,2020-03-07 20:30:00,1,0,0,1.3599999999999999,2.46,-1.0,1.0395435402206996,0.40761045320849437,0.2780233149052158,0.31436623188628976,0.40761045320849437,-0.2780233149052158,-0.31436623188628976,0.0452702219840816,-0.11878535904130948,,1.0,,,,
2965,USA,MLS,2020,Toronto FC,New York City,1,0,H,1.93,3.74,3.99,1.98,3.94,4.11,1.88,3.74,3.81,2020-03-07,2020-03-07 22:00:00,1,0,0,0.9299999999999999,2.74,-1.0,1.0361409605863319,0.5000619942027043,0.2580533820350853,0.24188462376221032,0.5000619942027043,-0.2580533820350853,-0.24188462376221032,0.04542355703877432,-0.11882686250210546,,0.0,,,,
2966,USA,MLS,2020,Atlanta Utd,FC Cincinnati,2,1,H,1.6,4.06,5.89,1.64,4.45,7.2,1.56,4.12,5.69,2020-03-08,2020-03-08 00:00:00,1,0,0,0.6000000000000001,3.0599999999999996,-1.0,1.0410847056462067,0.6003353969282059,0.23658537809978564,0.1630792249720084,0.6003353969282059,-0.23658537809978564,-0.1630792249720084,0.045610584959195434,-0.11884177735295477,,0.0,,,,
2967,USA,MLS,2020,San Jose Earthquakes,Minnesota United,2,5,A,1.95,3.86,3.78,2.0,4.1,4.2,1.89,3.8,3.73,2020-03-08,2020-03-08 01:00:00,0,1,0,-1.0,-1.0,2.78,1.0364381348837308,0.49479124277691866,0.24995930658419466,0.2552494506388866,-0.49479124277691866,-0.24995930658419466,0.2552494506388866,0.04542850887168327,-0.1187157358340896,,1.0,,,,
2968,USA,MLS,2020,Sporting Kansas City,Houston Dynamo,4,0,H,1.67,4.04,5.12,1.69,4.3,5.5,1.63,4.01,5.02,2020-03-08,2020-03-08 01:30:00,1,0,0,0.6699999999999999,3.04,-1.0,1.0416396476848284,0.5748652103829692,0.23762992607414818,0.18750486354288254,0.5748652103829692,-0.23762992607414818,-0.18750486354288254,0.04560683042827177,-0.11873890495760216,,0.0,,,,
2969,USA,MLS,2020,Colorado Rapids,Orlando City,2,1,H,1.65,4.2,5.03,1.68,4.21,5.63,1.63,4.03,5.02,2020-03-08,2020-03-08 02:00:00,1,0,0,0.6499999999999999,3.2,-1.0,1.042963001213498,0.5810950200107275,0.22828732928992865,0.190617650699344,0.5810950200107275,-0.22828732928992865,-0.190617650699344,0.04578712948200324,-0.11876310655549499,,0.0,,,,
2970,USA,MLS,2020,Los Angeles Galaxy,Vancouver Whitecaps,0,1,A,1.44,4.72,7.36,1.47,5.15,8.11,1.42,4.8,6.81,2020-03-08,2020-03-08 03:00:00,0,1,0,-1.0,-1.0,6.36,1.0421784164414967,0.6663393076356495,0.20328995826172358,0.13037073410262706,-0.6663393076356495,-0.20328995826172358,0.13037073410262706,0.0455474369754002,-0.11867925134154071,,0.0,,,,
